T(℃),P(atm),Cu(g),S(g),Fe(g),SiO2(g),Pb(g),Zn(g),MgO(g),Al2O3(g),Ni(g),Sb(g),Bi(g),CaO(g),As(g),O2(g),matte_Cu_pct,matte_Fe_pct,matte_S_pct,matte_Ni_pct,matte_Zn_pct,matte_Pb_pct,matte_As_pct,matte_mass_g,slag_Cu_pct,slag_FeO_pct,slag_SiO2_pct,slag_FeO_SiO2_ratio,slag_Al2O3_pct,slag_CaO_pct,slag_MgO_pct,slag_ZnO_pct,slag_mass_g,gas_SO2_mol,gas_S2_mol,gas_SO_mol,gas_SSO_mol,gas_SO3_mol,gas_Zn_mol,gas_PbS_mol,gas_CuS_mol,gas_Pb_mol,gas_Sb_mol,gas_As_mol,gas_mass_g
1200.0,1.0,19.046,25.119,20.864,18.818,0.418,2.32,1.123,1.65,0.011,0.056,0.011,0.523,0.073,21.0,58.594,14.442,24.892,0.02312,2.0275,0.013701,0.0,31.945,0.4595010937172409,43.414,39.004,1.113065326633166,3.6599,1.1601,2.4909,4.5863,44.489,0.97616,0.017674,0.0025986,0.0024564,3.562e-06,0.0003353,7.8012e-06,9.3972e-07,2.0022e-07,1.4229e-08,1.4292e-07,32.663
1200.0,1.0,18.595,20.861,22.019,17.447,0.044,0.235,0.517,2.15,0.009,0.087,0.01,1.283,0.011,21.0,70.278,7.1036,22.464,0.029705,0.11595,0.0074161,0.0,26.154,0.4596787301698232,45.219,39.893,1.1335071315769685,4.916,2.9336,1.1821,0.57179,43.505,0.99044,0.0056025,0.0019641,0.0010453,4.8517e-06,3.0733e-05,4.8246e-06,8.4353e-07,2.1993e-07,4.4237e-08,1.3357e-08,29.448
1200.0,1.0,16.202,11.491,28.163,22.99,0.654,0.739,0.655,1.104,0.2,0.035,0.009,0.336,0.021,21.0,80.364,0.011618,19.498,0.083258,0.0029171,0.00031893,0.0,14.031,13.732185966873995,11.602,48.786,0.2378141270036486,8.7468,2.6628,5.1902,4.5443,12.614,0.99922,9.4041e-07,0.00022455,1.5483e-06,4.3192e-05,4.4509e-05,9.068e-08,1.0827e-07,3.1905e-07,3.0586e-06,2.7682e-09,17.125
1200.0,1.0,19.115,22.867,23.517,15.445,0.05,0.322,0.569,1.819,0.106,0.071,0.009,0.66,0.009,21.0,63.559,11.996,23.88,0.32336,0.2347,0.0066412,0.0,29.698,0.5101807736389684,49.48,35.104,1.4095259799453053,4.1343,1.5001,1.2932,0.70529,43.438,0.98486,0.010406,0.0022864,0.0016584,4.1208e-06,4.9006e-05,4.4035e-06,8.9172e-07,1.4728e-07,2.4712e-08,1.0343e-08,30.403
1200.0,1.0,18.099,14.534,26.286,20.688,0.544,0.792,0.614,1.766,0.163,0.077,0.012,1.409,0.072,21.0,79.346,0.13572,20.255,0.19724,0.032307,0.00067335,0.0,22.08,1.7290244112097284,22.366,50.621,0.44183244108176445,8.9742,7.2852,3.1745,4.0129,19.339,0.99799,4.3763e-05,0.00058612,2.7569e-05,1.6507e-05,7.968e-05,3.6552e-07,2.8512e-07,1.8852e-07,1.9248e-06,3.68e-08,19.887
1200.0,1.0,19.737,23.276,24.207,17.791,0.027,0.403,3.21,0.782,0.567,0.053,0.009,0.215,0.009,21.0,62.161,11.981,24.079,1.4369,0.33843,0.0037773,0.0,31.489,0.49518825704102315,48.756,36.505,1.3355978633063963,2.2799,0.6603,3.0991,0.9199,30.931,0.98369,0.011517,0.0023438,0.0017884,4.0105e-06,6.7444e-05,2.5001e-06,8.9514e-07,7.9487e-08,1.9763e-08,1.5079e-08,30.455
1200.0,1.0,16.132,23.502,19.559,23.859,0.059,0.286,1.129,3.613,0.009,0.039,0.018,5.357,0.026,21.0,61.537,13.823,24.366,0.031314,0.22924,0.010176,0.0,25.984,0.22730360472429936,35.342,43.035,0.8212385267805276,6.5169,9.6626,2.0364,0.50518,55.161,0.98068,0.014165,0.0024644,0.0020855,3.7907e-06,4.168e-05,6.8092e-06,9.3174e-07,1.9521e-07,1.3869e-08,5.1472e-08,33.35
1200.0,1.0,19.419,26.493,22.699,17.088,0.124,0.649,0.271,1.727,0.014,0.046,0.013,0.432,0.156,21.0,55.538,18.148,25.635,0.035452,0.61658,0.012455,0.0,34.505,0.544802118247257,48.379,36.466,1.3266878736357153,4.2599,1.0656,0.66847,1.3297,39.758,0.97186,0.021579,0.0027256,0.0028468,3.3662e-06,9.3059e-05,8.2611e-06,9.3475e-07,1.9188e-07,1.0985e-08,2.7788e-07,33.362
1200.0,1.0,21.019,28.311,26.838,7.928,0.186,1.087,1.143,1.535,0.33,0.05,0.01,0.372,0.019,21.0,48.103,22.72,27.036,0.69939,1.4303,0.0089154,0.0,43.3,0.5481328017331749,47.952,28.893,1.6596407434326652,6.202,1.493,3.0264,2.1128,24.027,0.97102,0.02246,0.0027518,0.0029322,3.3284e-06,0.00021323,5.7142e-06,8.2137e-07,1.301e-07,1.146e-08,4.1025e-08,31.38
1200.0,1.0,17.196,20.28,20.458,23.55,0.041,0.075,1.297,2.785,0.403,0.113,0.009,0.317,0.009,21.0,72.767,3.9223,21.783,1.5046,0.021535,0.0015305,0.0,23.244,0.5680369662450205,44.548,40.562,1.0982693161086732,5.8889,0.67311,2.7241,0.18332,46.948,0.99382,0.0027938,0.0016533,0.00062134,5.803e-06,7.7049e-06,9.8947e-07,7.3551e-07,6.3872e-08,8.3991e-08,8.3686e-09,30.155
